"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Ramses Shaffy","Matthew","M","1","Jones","332.69506","paid","Janesville-Beloit, WI","957","Laat Me.","36"
"Van Halen","Matthew","M","2","Jones","228.33587","paid","Janesville-Beloit, WI","957","Why Can't This Be Love (Remastered Version)","36"
"Method Man","Ava","F","0","Robinson","195.97016","free","New Haven-Milford, CT","979","All I Need","50"
"Mando Diao","Matthew","M","3","Jones","238.54975","paid","Janesville-Beloit, WI","957","Down In The Past","36"
"The Archies","Ava","F","1","Robinson","166.16444","free","New Haven-Milford, CT","979","Sugar Sugar","50"
"OneRepublic","Matthew","M","4","Jones","208.14322","paid","Janesville-Beloit, WI","957","Apologize","36"
"Ensiferum","Matthew","M","5","Jones","273.8673","paid","Janesville-Beloit, WI","957","Lady In Black","36"
"Gold Panda","Matthew","M","6","Jones","189.09995","paid","Janesville-Beloit, WI","957","Win-san Western","36"
"Dixie Chicks","Matthew","M","7","Jones","206.44526","paid","Janesville-Beloit, WI","957","Tonight The Heartache's On Me","36"
"Ferry Corsten","Matthew","M","8","Jones","466.46812","paid","Janesville-Beloit, WI","957","Sublime","36"
"Energy 52","Ryan","M","0","Smith","462.13179","free","San Jose-Sunnyvale-Santa Clara, CA","946","CafÃÂ© Del Mar","26"
"Babyshambles","Matthew","M","9","Jones","206.49751","paid","Janesville-Beloit, WI","957","Killamangiro","36"
"Michael BublÃÂ©","Ryan","M","1","Smith","225.90649","free","San Jose-Sunnyvale-Santa Clara, CA","946","Home (Album Version)","26"
"Steppenwolf","Matthew","M","10","Jones","208.14322","paid","Janesville-Beloit, WI","957","Born To Be Wild","36"
"Jean Michel Jarre","Ryan","M","2","Smith","461.58322","free","San Jose-Sunnyvale-Santa Clara, CA","946","oxygene 2","26"
"BjÃÂ¶rk","Matthew","M","11","Jones","348.57751","paid","Janesville-Beloit, WI","957","Undo","36"
"Anberlin","Matthew","M","12","Jones","203.02322","paid","Janesville-Beloit, WI","957","Alexithymia","36"
"Metallica","Matthew","M","13","Jones","515.21261","paid","Janesville-Beloit, WI","957","Master Of Puppets","36"
"Imogen Heap","Matthew","M","14","Jones","509.36118","paid","Janesville-Beloit, WI","957","Hide & Seek","36"
"Crosby_ Stills & Nash","Chloe","F","0","Cuevas","257.43628","paid","San Francisco-Oakland-Hayward, CA","987","Long Time Gone  (LP Version)","49"
"Nickel Creek","Chloe","F","1","Cuevas","187.55873","paid","San Francisco-Oakland-Hayward, CA","987","Scotch & Chocolate","49"
"MF Doom","Matthew","M","16","Jones","296.72444","paid","Janesville-Beloit, WI","957","Guinnesses (feat. Angelika & 4ize)","36"
"Breaks Co-Op","Ryan","M","1","Smith","199.73179","free","San Jose-Sunnyvale-Santa Clara, CA","989","The Otherside (Acoustic Version)","26"
"The Streets","Chloe","F","2","Cuevas","208.90077","paid","San Francisco-Oakland-Hayward, CA","987","War Of The Sexes","49"
"Old 97's","Matthew","M","17","Jones","231.28771","paid","Janesville-Beloit, WI","957","Victoria (LP Version)","36"
"Martin O'Donnell And Michael Salvatori","Chloe","F","3","Cuevas","185.80853","paid","San Francisco-Oakland-Hayward, CA","987","Reclaimer","49"
"Kate Voegele","Matthew","M","18","Jones","248.31955","paid","Janesville-Beloit, WI","957","It's Only Life","36"
"Justin Bieber","Chloe","F","4","Cuevas","220.89098","paid","San Francisco-Oakland-Hayward, CA","987","Somebody To Love","49"
"Devotchka","Matthew","M","19","Jones","225.09669","paid","Janesville-Beloit, WI","957","Head Honcho","36"
"Silversun Pickups","Chloe","F","5","Cuevas","340.53179","paid","San Francisco-Oakland-Hayward, CA","987","Three Seed","49"
"Animal Collective","Matthew","M","20","Jones","164.77995","paid","Janesville-Beloit, WI","957","Winter Wonderland","36"
"Dinosaur Jr.","Chloe","F","6","Cuevas","198.53016","paid","San Francisco-Oakland-Hayward, CA","987","Does It Float","49"
"Iam","Matthew","M","21","Jones","287.92118","paid","Janesville-Beloit, WI","957","Contrat De Conscience","36"
"Sam Sparro","Chloe","F","7","Cuevas","284.70812","paid","San Francisco-Oakland-Hayward, CA","987","Pocket","49"
"The Ethiopians","Matthew","M","22","Jones","170.1873","paid","Janesville-Beloit, WI","957","Train To Skaville","36"
"Leonard Cohen","Chloe","F","8","Cuevas","365.94893","paid","San Francisco-Oakland-Hayward, CA","987","Dance Me To The End Of Love","49"
"Herman's Hermits","Matthew","M","23","Jones","155.42812","paid","Janesville-Beloit, WI","957","I'm Into Something Good","36"
"Seeed","Matthew","M","24","Jones","207.59465","paid","Janesville-Beloit, WI","957","Tide Is High (Es Geht Auch Anders Mix)","36"
"Future Rock","Chloe","F","9","Cuevas","239.90812","paid","San Francisco-Oakland-Hayward, CA","987","Gears","49"
"Three Drives","Matthew","M","25","Jones","411.6371","paid","Janesville-Beloit, WI","957","Greece 2000","36"
"Eminem","Chloe","F","10","Cuevas","283.55873","paid","San Francisco-Oakland-Hayward, CA","987","Deja Vu","49"
"Creedence Clearwater Revival","Matthew","M","26","Jones","230.94812","paid","Janesville-Beloit, WI","957","It's Just A Thought","36"
"Florence + The Machine","Chloe","F","11","Cuevas","219.66322","paid","San Francisco-Oakland-Hayward, CA","987","Dog Days Are Over (Radio Edit)","49"
"The Kooks","Matthew","M","27","Jones","98.16771","paid","Janesville-Beloit, WI","957","Seaside","36"
"Yazoo","Matthew","M","28","Jones","178.99057","paid","Janesville-Beloit, WI","957","Don't Go (Live)","36"
"Hans Zimmer_ James Newton Howard","Chloe","F","12","Cuevas","455.47057","paid","San Francisco-Oakland-Hayward, CA","987","Macrotus","49"
"Paul Cardall","Matthew","M","29","Jones","222.87628","paid","Janesville-Beloit, WI","957","Scarborough Fair","36"
"Aretha Franklin","Matthew","M","30","Jones","183.90159","paid","Janesville-Beloit, WI","957","Hello Sunshine","36"
"Muse","Chloe","F","13","Cuevas","209.50159","paid","San Francisco-Oakland-Hayward, CA","987","Supermassive Black Hole (Twilight Soundtrack Version)","49"
"Coldplay","Matthew","M","31","Jones","298.762","paid","Janesville-Beloit, WI","957","Shiver","36"
"Eric Clapton","Chloe","F","14","Cuevas","271.80363","paid","San Francisco-Oakland-Hayward, CA","987","Tears In Heaven","49"
"Kate Winslet","Matthew","M","37","Jones","106.73587","paid","Janesville-Beloit, WI","957","What If (Film Version)","36"
"Roadrunner United","Chloe","F","15","Cuevas","285.02159","paid","San Francisco-Oakland-Hayward, CA","987","The Enemy (Album Version)","49"
"Flogging Molly","Matthew","M","38","Jones","260.75383","paid","Janesville-Beloit, WI","957","Punch Drunk Grinning Soul","36"
"Apocalyptica","Chloe","F","16","Cuevas","206.15791","paid","San Francisco-Oakland-Hayward, CA","987","Quutamo","49"
"Blind Melon","Matthew","M","39","Jones","214.72608","paid","Janesville-Beloit, WI","957","Mouthful Of Cavities","36"
"Killswitch Engage","Chloe","F","17","Cuevas","254.45832","paid","San Francisco-Oakland-Hayward, CA","987","In A Dead World (Album Version)","49"
"Charlie Wilson featuring Snoop Dogg","Matthew","M","40","Jones","231.70567","paid","Janesville-Beloit, WI","957","Let It Out","36"
"Black Eyed Peas","Chloe","F","18","Cuevas","229.61587","paid","San Francisco-Oakland-Hayward, CA","987","Let's Get It Started","49"
"Coldplay","Matthew","M","41","Jones","139.12771","paid","Janesville-Beloit, WI","957","Don't Panic","36"
"Tori Amos Featuring Damien Rice","Matthew","M","42","Jones","215.82322","paid","Janesville-Beloit, WI","957","The Power of Orange Knickers","36"
"Abba","Matthew","M","43","Jones","213.05424","paid","Janesville-Beloit, WI","957","Summer Night City","36"
"Blu Cantrell Featuring Foxy Brown","Matthew","M","44","Jones","250.69669","paid","Janesville-Beloit, WI","957","Hit 'Em Up Style (Oops!)","36"
"Keyshia Cole / T.I. / Missy Elliott / Young Dro","Matthew","M","45","Jones","220.08118","paid","Janesville-Beloit, WI","957","Let It Go","36"
"Maroon 5","Matthew","M","46","Jones","152.842","paid","Janesville-Beloit, WI","957","Can't Stop","36"
"Angels and Airwaves","Matthew","M","47","Jones","302.05342","paid","Janesville-Beloit, WI","957","The Gift","36"
"Silversun Pickups","Matthew","M","48","Jones","348.23791","paid","Janesville-Beloit, WI","957","Lazy Eye [Jason Bentley Remix]","36"
"65daysofstatic","Mohammad","M","0","Rodriguez","264.98567","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Drove Through Ghosts to Get Here","88"
"Los Abuelos De La Nada","Matthew","M","51","Jones","122.27873","paid","Janesville-Beloit, WI","957","Se Me OlvidÃÂ³ Que Te OlvidÃÂ©","36"
"STRATOVARIUS","Matthew","M","52","Jones","442.06975","paid","Janesville-Beloit, WI","957","Soul Of A Vagabond","36"
"Young Money featuring Lloyd","Mohammad","M","1","Rodriguez","196.33587","paid","Sacramento--Roseville--Arden-Arcade, CA","969","BedRock (Radio Edit) (feat.Lloyd)","88"
"The Human League","Mohammad","M","2","Rodriguez","225.17506","paid","Sacramento--Roseville--Arden-Arcade, CA","969","(Keep Feeling) Fascination (2003 Digital Remaster)","88"
"Enya","Matthew","M","53","Jones","185.7824","paid","Janesville-Beloit, WI","957","Aldebaran","36"
"Alceu ValenÃÂ§a","Mohammad","M","3","Rodriguez","176.56118","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Eu Te Amo","88"
"Nickel Creek","Matthew","M","54","Jones","225.69751","paid","Janesville-Beloit, WI","957","In The House Of Tom Bombadil","36"
"Linkin Park","Brantley","M","1","West","208.95302","free","Portland-Vancouver-Hillsboro, OR-WA","270","Crawling (Album Version)","28"
"Matisyahu","Mohammad","M","4","Rodriguez","222.37995","paid","Sacramento--Roseville--Arden-Arcade, CA","969","King Without A Crown","88"
"Bryn Terfel / Berliner Philharmoniker / Claudio Abbado","Matthew","M","55","Jones","967.36608","paid","Janesville-Beloit, WI","957","Wotan's Farewell & Magic Fire Music","36"
"Jens Lekman","Mohammad","M","5","Rodriguez","210.46812","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Someone To Share My Life With","88"
"Propellerheads","Mohammad","M","6","Rodriguez","239.3073","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Take California","88"
"Daft Punk","Tegan","F","0","Levine","286.6673","paid","Portland-South Portland, ME","992","Human After All (SebastiAn Remix )","80"
"Edward Sharpe & The Magnetic Zeros","Mohammad","M","7","Rodriguez","306.31138","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Home","88"
"The Feeling","Tegan","F","1","Levine","227.36934","paid","Portland-South Portland, ME","992","I Want You Now","80"
"Crystal Castles","Mohammad","M","8","Rodriguez","186.38322","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Untrust us","88"
"The Black Keys","Tegan","F","2","Levine","152.52853","paid","Portland-South Portland, ME","992","Busted","80"
"Timbaland / Keri Hilson / D.O.E.","Matthew","M","56","Jones","179.25179","paid","Janesville-Beloit, WI","957","The Way I Are","36"
"Oliver Koletzki","Mohammad","M","9","Rodriguez","609.48853","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Nascita Of The Monsters","88"
"Josh Groban","Tegan","F","3","Levine","152.0322","paid","Portland-South Portland, ME","992","Lullaby [With Ladysmith Black Mambazo] (Album Version)","80"
"Moonspell","Matthew","M","57","Jones","293.642","paid","Janesville-Beloit, WI","957","Hers is the twilight","36"
"Alliance Ethnik","Tegan","F","4","Levine","252.21179","paid","Portland-South Portland, ME","992","ReprÃÂ©sente","80"
"Silverchair","Tegan","F","5","Levine","267.88526","paid","Portland-South Portland, ME","992","Tomorrow","80"
"Blood Red Shoes","Matthew","M","58","Jones","186.90567","paid","Janesville-Beloit, WI","957","Don't Ask","36"
"Kurd Maverick","Matthew","M","59","Jones","480.46975","paid","Janesville-Beloit, WI","957","Let's Work","36"
"Deadmau5","Mohammad","M","10","Rodriguez","429.94893","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Arguru","88"
"Usher Featuring Lil' Jon & Ludacris","Mohammad","M","11","Rodriguez","250.38322","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Yeah!","88"
"The Aztext","Matthew","M","60","Jones","259.21261","paid","Janesville-Beloit, WI","957","Learn to Talk","36"
"Rey Ruiz","Mohammad","M","12","Rodriguez","301.87057","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Por Amarte AsÃÂ­","88"
"BjÃÂ¶rk","Matthew","M","61","Jones","348.57751","paid","Janesville-Beloit, WI","957","Undo","36"
"LeAnn Rimes","Mohammad","M","13","Rodriguez","217.25995","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Probably Wouldn't Be This Way (Dann Huff remix)","88"
"Jagged Edge","Matthew","M","62","Jones","195.21261","paid","Janesville-Beloit, WI","957","Addicted To Your Love","36"
"Gorillaz","Tegan","F","7","Levine","183.53587","paid","Portland-South Portland, ME","992","Rock The House (Radio Edit)","80"
"Guns N' Roses","Mohammad","M","14","Rodriguez","193.14893","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Used To Love Her","88"
"Verdena","Matthew","M","63","Jones","241.162","paid","Janesville-Beloit, WI","957","Phantastica","36"
"Angus & Julia Stone","Tegan","F","8","Levine","218.8273","paid","Portland-South Portland, ME","992","Soldier","80"
"Tegan And Sara","Mohammad","M","15","Rodriguez","180.29669","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Relief Next To Me (Album Version)","88"
"BjÃÂ¶rk","Matthew","M","64","Jones","348.57751","paid","Janesville-Beloit, WI","957","Undo","36"
"Andrew Gold","Tegan","F","9","Levine","282.01751","paid","Portland-South Portland, ME","992","Thank You for Being a Friend","80"
"Platero Y Tu","Mohammad","M","16","Rodriguez","133.61587","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Imanol","88"
"My Chemical Romance","Magdalene","F","0","Herman","311.11791","free","Dallas-Fort Worth-Arlington, TX","707","Welcome To The Black Parade (Album Version)","77"
"Justin Bieber","Mohammad","M","17","Rodriguez","220.89098","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Somebody To Love","88"
"BlÃÂ¸f","Tegan","F","10","Levine","294.29506","paid","Portland-South Portland, ME","992","Aanzoek Zonder Ringen (met Kodo)","80"
"Avenged Sevenfold","Matthew","M","65","Jones","312.11057","paid","Janesville-Beloit, WI","957","Bat Country (Album Version)","36"
"KMC Feat. Dhany","Mohammad","M","18","Rodriguez","483.81342","paid","Sacramento--Roseville--Arden-Arcade, CA","969","I Feel So Fine ","88"
"Kings Of Leon","Magdalene","F","1","Herman","201.79546","free","Dallas-Fort Worth-Arlington, TX","707","Revelry","77"
"Faith No More","Tegan","F","11","Levine","257.802","paid","Portland-South Portland, ME","992","Midlife Crisis","80"
"Lily Allen","Matthew","M","66","Jones","197.45914","paid","Janesville-Beloit, WI","957","Him","36"
"Framing Hanley","Magdalene","F","2","Herman","230.08608","free","Dallas-Fort Worth-Arlington, TX","707","Alone In This Bed (Capeside)","77"
"Andrew Jackson Jihad","Matthew","M","68","Jones","74.97098","paid","Janesville-Beloit, WI","957","Brave as a Noun","36"
"Twista","Tegan","F","12","Levine","223.03302","paid","Portland-South Portland, ME","992","Girl Tonite [Featuring Trey Songz] [Explicit Album Version]","80"
"Sisqo","Mohammad","M","19","Rodriguez","253.49179","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Thong Song","88"
"Underworld","Magdalene","F","3","Herman","158.4322","free","Dallas-Fort Worth-Arlington, TX","707","To Heal","77"
"Paramore","Matthew","M","69","Jones","267.65016","paid","Janesville-Beloit, WI","957","The Only Exception (Album Version)","36"
"Train","Magdalene","F","4","Herman","216.76363","free","Dallas-Fort Worth-Arlington, TX","707","Hey_ Soul Sister","77"
"Die Mooskirchner","Tegan","F","13","Levine","169.29914","paid","Portland-South Portland, ME","992","Frisch und g'sund","80"
"Ron Carter","Mohammad","M","20","Rodriguez","497.13587","paid","Sacramento--Roseville--Arden-Arcade, CA","969","I CAN'T GET STARTED","88"
"Bo Kaspers Orkester","Matthew","M","70","Jones","259.36934","paid","Janesville-Beloit, WI","957","Undantag","36"
"Kid Cudi / MGMT / Ratatat","Magdalene","F","5","Herman","295.67955","free","Dallas-Fort Worth-Arlington, TX","707","Pursuit Of Happiness (nightmare)","77"
"Bacilos","Matthew","M","71","Jones","307.51302","paid","Janesville-Beloit, WI","957","Viejo","36"
"Alejandro Sanz","Mohammad","M","21","Rodriguez","277.2371","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Y solo se me ocurre amarte (Unplugged)","88"
"UNKLE","Matthew","M","73","Jones","295.54893","paid","Janesville-Beloit, WI","957","Burn My Shadow","36"
"the bird and the bee","Mohammad","M","22","Rodriguez","225.17506","paid","Sacramento--Roseville--Arden-Arcade, CA","969","My Love","88"
"TRUSTcompany","Martin","M","0","Johnson","194.2722","free","Minneapolis-St. Paul-Bloomington, MN-WI","773","Take It All","55"
"Pixies","Matthew","M","74","Jones","229.3024","paid","Janesville-Beloit, WI","957","Where Is My Mind?","36"
"Faith No More","Mohammad","M","23","Rodriguez","249.86077","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Last Cup Of Sorrow","88"
"Big Tymers","Matthew","M","75","Jones","289.95873","paid","Janesville-Beloit, WI","957","Rocky","36"
"The Darkness","Mohammad","M","24","Rodriguez","217.05098","paid","Sacramento--Roseville--Arden-Arcade, CA","969","I Believe In A Thing Called Love","88"
"D Black","Matthew","M","76","Jones","261.14567","paid","Janesville-Beloit, WI","957","Mais E Mais Amor","36"
"Craig Mack","Mohammad","M","25","Rodriguez","218.04363","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Flava In Your Ear","88"
"DAVE MATTHEWS BAND","Tegan","F","15","Levine","71.81016","paid","Portland-South Portland, ME","992","Grux","80"
"Sugar Pie DeSanto","Tegan","F","16","Levine","169.50812","paid","Portland-South Portland, ME","992","Soulful Dress","80"
"Mickie Krause","Mohammad","M","26","Rodriguez","204.17261","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Orange TrÃÂ¤gt Nur Die MÃÂ¼llabfuhr (Go West)","88"
"Mikel Erentxun","Tegan","F","17","Levine","178.83383","paid","Portland-South Portland, ME","992","Frases Mudas","80"
"Sigur RÃÂ³s","Mohammad","M","27","Rodriguez","333.63546","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Gong","88"
"Two Door Cinema Club","Tegan","F","18","Levine","190.56281","paid","Portland-South Portland, ME","992","You Are Not Stubborn","80"
"Josh Turner","Tegan","F","19","Levine","208.84853","paid","Portland-South Portland, ME","992","Firecracker","80"
"El Gran Combo De Puerto Rico","Mohammad","M","28","Rodriguez","226.89914","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Sin Salsa No Hay ParaÃÂ­so","88"
"The Black Keys","Tegan","F","20","Levine","156.18567","paid","Portland-South Portland, ME","992","Heavy Soul ","80"
"Muse","Mohammad","M","29","Rodriguez","185.93914","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Yes Please","88"
"Rivers Cuomo","Tegan","F","21","Levine","219.48036","paid","Portland-South Portland, ME","992","The World We Love So Much","80"
"Man Man","Mohammad","M","30","Rodriguez","222.45832","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Van Helsing Boombox","88"
"Four Tet","Tegan","F","22","Levine","276.76689","paid","Portland-South Portland, ME","992","Untangle","80"
"Usher featuring will.i.am","Mohammad","M","31","Rodriguez","395.72853","paid","Sacramento--Roseville--Arden-Arcade, CA","969","OMG","88"
"The Grateful Dead","Tegan","F","23","Levine","351.9473","paid","Portland-South Portland, ME","992","Peggy-O [Studio Outtake]","80"
"Rilo Kiley","Mohammad","M","32","Rodriguez","270.99383","paid","Sacramento--Roseville--Arden-Arcade, CA","969","I Never (Album Version)","88"
"Leonard Cohen","Tegan","F","24","Levine","267.67628","paid","Portland-South Portland, ME","992","I'm Your Man","80"
"Justin Bieber","Mohammad","M","33","Rodriguez","191.55546","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Love Me","88"
"Olivier Darock","Tegan","F","25","Levine","391.10485","paid","Portland-South Portland, ME","992","Miss You","80"
"Anjulie","Mohammad","M","34","Rodriguez","187.76771","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Addicted2Me","88"
"Rilo Kiley","Mohammad","M","35","Rodriguez","322.42893","paid","Sacramento--Roseville--Arden-Arcade, CA","969","A Man/Me/Then Jim (Album Version)","88"
"Florence + The Machine","Tegan","F","26","Levine","258.55955","paid","Portland-South Portland, ME","992","Cosmic Love","80"
"Daft Punk","Tegan","F","27","Levine","213.28934","paid","Portland-South Portland, ME","992","Harder Better Faster Stronger (Alive Radio Edit 2007)","80"
"R. Kelly","Jordan","F","0","Hicks","297.37751","free","Salinas, CA","935","Your Body's Callin'","37"
"Erykah Badu","Tegan","F","28","Levine","366.65424","paid","Portland-South Portland, ME","992","Fall In Love (your funeral)","80"
"C.J. Lewis","Jordan","F","1","Hicks","201.27302","free","Salinas, CA","935","Sweets For My Sweet","37"
"Modest Mouse","Tegan","F","29","Levine","190.35383","paid","Portland-South Portland, ME","992","Here It Comes","80"
"Lil Wayne / Bobby Valentino / Kidd Kidd","Tegan","F","30","Levine","286.95465","paid","Portland-South Portland, ME","992","Mrs. Officer","80"
